Year MonthOfYear DayOfMonth DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) AblationPressureTransducer(mm) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) HorDilOfPrecGPS_HDOP<1 LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2016 8 27 240 6084 945.38 3.58 2.64 77.1 4.01 4.7 355.3 -999 -999 151.4 148.5 32.6 32.1 .215 310.1 319.3 .76 0 2.503 1.215 10.976 11.525 9 -.06 -.07 -.08 -.14 -.26 -.32 -.43 -.47 -999 -999 61.099903 46.832928 625.9 .77 -999 132.4 13.04
2016 8 28 241 6085 940.08 2.71 1.9 76.4 3.77 4.47 359.3 -999 -999 230.9 225.8 54.3 54 .24 256.3 317.4 .24 0 2.529 1.24 10.87 11.477 10 -.05 -.07 -.07 -.14 -.25 -.31 -.42 -.48 -999 -999 61.0999 46.83293 625.3 .75 -999 137.4 13.48
2016 8 29 242 6086 933.25 2.64 1.84 75.2 3.69 2.75 344.6 -999 -999 229 224.6 56.4 56.2 .248 251.3 315.8 .18 -.27 2.437 1.263 10.756 11.433 9 -.05 -.07 -.07 -.15 -.24 -.3 -.41 -.48 -999 -999 61.099903 46.83295 626.6 .74 -999 135.4 13.53
2016 8 30 243 6087 925.83 1.38 .42 85 3.86 3.47 15.5 -999 -999 119.9 119.7 28.3 27.7 .23 271.7 314.1 .47 -.35 2.541 1.292 10.679 11.403 2 -.07 -.08 -.07 -.15 -.24 -.3 -.41 -.48 -999 -999 61.099895 46.83294 624.8 .75 -999 131.4 13.05
2016 8 31 244 6088 930.54 2.23 1.35 72.1 3.47 5.29 356.8 -999 -999 229.5 223.2 56.1 55.9 .251 245.3 314.8 .15 -.17 2.438 1.311 10.682 11.373 7 -.05 -.07 -.07 -.15 -.22 -.28 -.39 -.47 -999 -999 61.099888 46.832928 624.5 .74 -999 140.6 13.62
2016 9 1 245 6089 929 1.55 .73 75.1 3.45 4.2 352.3 -999 -999 225.4 219.1 57.4 57 .261 246.1 313.5 .19 -.41 2.44 1.348 10.629 11.33 9 -.06 -.07 -.07 -.15 -.22 -.27 -.38 -.47 -999 -999 61.099895 46.83294 624.7 .8 -999 139.9 13.6
2016 9 2 246 6090 925.96 .52 -.17 82.8 3.54 2.65 349.2 -999 -999 204.2 197.1 53.4 53.2 .266 259 313.4 .38 -.71 2.438 1.369 10.56 11.293 7 -.07 -.08 -.08 -.14 -.21 -.26 -.37 -.47 -999 -999 61.0999 46.832947 625 .78 -999 136.4 13.49
2016 9 3 247 6091 926.21 1.07 .24 90.4 4.02 1.95 30.7 -999 -999 147 146.3 35.6 36 .247 299.3 317.1 .78 0 2.515 1.391 10.539 11.263 4 -.07 -.08 -.08 -.15 -.2 -.26 -.36 -.47 -999 -999 61.09989 46.83294 624.4 .79 -999 133.3 13.14
2016 9 4 248 6092 929.96 .43 -.43 93.6 3.95 1.79 11.5 -999 -999 159.6 158.4 42.9 42.8 .27 274.6 314.9 .55 -.26 2.509 1.406 10.554 11.242 2 -.07 -.07 -.07 -.15 -.2 -.25 -.35 -.46 -999 -999 61.09989 46.832935 625.2 .75 -999 140.6 13.66
2016 9 5 249 6093 933.92 .55 -.43 89.9 3.82 3.35 34.4 -999 -999 64 65.3 17.5 17.2 .258 290.7 313.6 .71 -.46 2.399 1.425 10.563 11.224 3 -.09 -.08 -.08 -.16 -.21 -.25 -.35 -.46 -999 -999 61.099888 46.83293 624.7 .78 -999 128.6 13.01
