Year MonthOfYear DayOfMonth DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) AblationPressureTransducer(mm) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) HorDilOfPrecGPS_HDOP<1 LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2016 5 17 138 5982 722.37 -23.24 -23.49 84.2 .56 5.25 286.8 12.9 -2.8 307.8 310.2 251.9 251.9 .814 165.7 216.2 .39 -24.29 2.583 -999 -999 -999 -999 -23.87 -24.63 -24.03 -25.47 -26.54 -27.42 -28.57 -30.7 .02 -1.65 -999 -999 -999 -999 -20.84 127.7 14.7
2016 5 18 139 5983 717.38 -26.75 -27.02 90.3 .43 3.24 237.4 0 -2.1 344.5 350.8 274.6 274.2 .783 148.4 207.3 .33 -26.86 2.584 -999 -999 -999 -999 -25.36 -25.32 -25.32 -25.62 -26.6 -27.45 -28.45 -30.59 .1 -1.68 -999 -999 -999 -999 -22.59 126.6 14.87
2016 5 19 140 5984 714.35 -22.66 -23.22 90.1 .72 5.37 243.2 16.7 -.8 337.8 338.5 266.8 266.8 .788 161.3 217.9 .32 -23.96 2.584 -999 -999 -999 -999 -25.04 -25.67 -25.26 -26.15 -26.87 -27.58 -28.49 -30.54 .08 -1.7 -999 -999 -999 -999 -20.49 127.7 14.86
2016 5 20 141 5985 716.69 -16.96 -17.55 89.6 1.1 5.47 230 16 -1.3 337 336.4 268.8 268.8 .799 182.8 238.5 .34 -18.12 2.585 -999 -999 -999 -999 -21.53 -23.39 -21.96 -25.32 -26.89 -27.73 -28.55 -30.51 .14 -1.65 -999 -999 -999 -999 -14.53 128 14.83
2016 5 21 142 5986 719.01 -18.24 -18.47 82.9 .88 3.82 222.8 4.5 -3.8 340.1 345.7 273.4 273.4 .788 175.2 236.3 .31 -18.66 2.584 -999 -999 -999 -999 -20.65 -22.09 -20.94 -24.11 -26.38 -27.64 -28.56 -30.46 .11 -1.67 -999 -999 -999 -999 -14.05 128.6 14.83
2016 5 22 143 5987 721.98 -19.81 -20.18 84.8 .79 3.43 224.6 .3 -4.5 347.1 351.6 276.6 276.6 .785 169.1 230.4 .31 -20.26 2.584 -999 -999 -999 -999 -21.21 -22.18 -21.41 -23.72 -25.91 -27.35 -28.46 -30.38 .16 -1.68 -999 -999 -999 -999 -15.66 128.2 14.81
2016 5 23 144 5988 723.95 -19.97 -20.02 87.5 .8 3.43 261.3 1.4 -4 358 363.9 285.6 285.6 .782 170.2 230.8 .32 -20.16 2.584 -999 -999 -999 -999 -21.11 -22.16 -21.35 -23.63 -25.65 -27.09 -28.3 -30.27 .12 -1.68 -999 -999 -999 -999 -16.3 128.9 14.83
2016 5 24 145 5989 723.93 -20.47 -21.01 88.2 .77 4.76 230.4 4.5 -4.5 357.8 361.6 282.3 282.3 .779 165 227.9 .29 -20.92 2.585 -999 -999 -999 -999 -21.17 -22.08 -21.36 -23.47 -25.46 -26.89 -28.13 -30.17 .18 -1.7 -999 -999 -999 -999 -17.56 127.1 14.77
2016 5 25 146 5990 716.24 -16.36 -16.98 88.4 1.2 5.36 182.6 8 -5.9 304.6 310 257.1 257.1 .831 204.9 243.8 .55 -16.96 2.585 -999 -999 -999 -999 -19.7 -21.35 -20.11 -23.22 -25.32 -26.74 -27.97 -30.09 .07 -1.64 -999 -999 -999 -999 -13.51 127.2 14.72
2016 5 26 147 5991 709.45 -17.89 -18.19 91.6 1.02 5.89 332.2 .3 -5.4 319 318.9 265 264 .829 207.4 239.2 .64 -18.06 2.584 -999 -999 -999 -999 -18.58 -20.07 -18.91 -22.24 -24.88 -26.52 -27.82 -29.97 .1 -1.66 -999 -999 -999 -999 -15.54 126.5 14.74
2016 5 27 148 5992 716.69 -18.41 -18.69 90.7 .97 4.66 12.6 2.8 -3.5 324.6 322.7 262.2 262.2 .813 196.9 236.5 .55 -18.76 2.584 -999 -999 -999 -999 -19.38 -20.31 -19.54 -21.94 -24.44 -26.2 -27.62 -29.84 .16 -1.68 -999 -999 -999 -999 -15.8 127.4 14.73
2016 5 28 149 5993 720.34 -19.64 -20.5 87.1 .83 8 195.8 13 -4.3 374.2 376.6 299.5 299.5 .792 164.2 229.5 .25 -20.4 2.583 -999 -999 -999 -999 -19.86 -20.52 -19.93 -21.94 -24.22 -25.92 -27.41 -29.7 .34 -1.71 -999 -999 -999 -999 -17.74 129.8 14.73
2016 5 29 150 5994 729.15 -21.79 -22.39 84.1 .7 5.32 194.3 5.6 -4.4 377.7 384.1 301.6 301.6 .784 158.9 223.8 .26 -22.14 2.584 -999 -999 -999 -999 -21.79 -21.91 -21.77 -22.57 -24.21 -25.73 -27.2 -29.54 .13 -1.71 -999 -999 -999 -999 -18.52 128.1 14.75
2016 5 30 151 5995 729.13 -14.73 -15.31 86.8 1.27 5.62 206 11.6 -5.6 347.5 348.8 283.8 283.2 .812 194.3 248.3 .38 -15.54 2.586 -999 -999 -999 -999 -20.12 -21.36 -20.33 -22.81 -24.43 -25.73 -27.05 -29.42 .15 -1.67 -999 -999 -999 -999 -12.12 128 14.7
2016 5 31 152 5996 730.32 -20.96 -21.58 83.3 .68 5.94 237.8 12.6 -4.9 386.6 392 309.8 309.8 .787 149.8 224.1 .14 -21.87 2.586 -999 -999 -999 -999 -20.64 -21.1 -20.69 -22.27 -24.19 -25.63 -26.94 -29.26 .14 -1.76 -999 -999 -999 -999 -18.35 127.6 14.75
2016 6 1 153 5997 727.51 -17.92 -18.49 89.3 1.04 5.13 226.7 3.4 -5.2 323.4 326.2 271 270.7 .834 203.1 238.7 .59 -18.32 2.585 -999 -999 -999 -999 -21.2 -21.76 -21.3 -22.67 -24.18 -25.5 -26.81 -29.13 .2 -1.73 -999 -999 -999 -999 -15.03 128.7 14.68
2016 6 2 154 5998 734.83 -18.19 -18.78 85.6 .9 7.14 254.4 11.4 -4.6 385.3 384.3 306.2 305.4 .792 167.2 235.5 .23 -18.75 2.586 -999 -999 -999 -999 -20.17 -21.09 -20.27 -22.44 -24.18 -25.47 -26.71 -29 .13 -1.7 -999 -999 -999 -999 -16.09 131.2 14.75
2016 6 3 155 5999 733.31 -13.61 -14.13 89.4 1.53 4.81 225.8 9.3 -3.5 368.8 372.5 297.9 297.9 .797 196.2 253 .35 -14.4 2.585 -999 -999 -999 -999 -19.54 -20.66 -19.75 -22.11 -23.97 -25.35 -26.61 -28.89 .18 -1.66 -999 -999 -999 -999 -10.75 126.7 14.71
2016 6 4 156 6000 729.72 -11.96 -12.24 88.2 1.7 5.65 261 5.6 -5.6 356.7 354.9 292 290.8 .815 217.6 261 .51 -12.38 2.585 -999 -999 -999 -999 -16.94 -18.71 -17.28 -21.07 -23.6 -25.18 -26.48 -28.79 .11 -1.69 -999 -999 -999 -999 -9.57 127.1 14.63
2016 6 5 157 6001 731.62 -17.82 -18.12 84.6 .91 5.46 291.1 .5 -7.1 360.8 357.4 289.3 289.3 .81 193 239.4 .49 -17.88 2.584 -999 -999 -999 -999 -17.62 -18.5 -17.72 -20.23 -22.93 -24.81 -26.31 -28.67 .18 -1.73 -999 -999 -999 -999 -15.93 127.3 14.63
2016 6 6 158 6002 734.49 -16.28 -16.82 87.9 1.09 6.47 283.3 5.8 -5.9 355.7 355.3 289.3 289.3 .816 200 244 .5 -16.68 2.586 -999 -999 -999 -999 -18.05 -18.93 -18.19 -20.38 -22.65 -24.45 -26.07 -28.52 .22 -1.7 -999 -999 -999 -999 -14.89 128.7 14.57
2016 6 7 159 6003 736.19 -17.1 -17.6 84 1.02 6 250.7 14.2 -4.7 394.7 401.8 322.4 322.4 .802 169.9 238.3 .21 -18.07 2.586 -999 -999 -999 -999 -18.54 -19.22 -18.63 -20.43 -22.5 -24.21 -25.84 -28.37 .19 -1.72 -999 -999 -999 -999 -14.87 127.9 14.69
2016 6 8 160 6004 735.32 -12.86 -13.1 90 1.57 5.03 255.9 12.6 -3.2 386.2 389.2 312.3 311.3 .798 192.5 254.6 .28 -13.9 2.585 -999 -999 -999 -999 -17.64 -18.83 -17.86 -20.38 -22.43 -24.05 -25.64 -28.21 .19 -1.69 -999 -999 -999 -999 -10.4 126.9 14.66
2016 6 9 161 6005 735.04 -13.77 -13.93 90 1.47 3.59 241.3 3.4 -4.6 379.4 384.1 306.1 305.6 .794 192.3 254.3 .32 -14.01 2.584 -999 -999 -999 -999 -16.86 -18.02 -17.06 -19.75 -22.13 -23.87 -25.47 -28.06 .24 -1.66 -999 -999 -999 -999 -10.1 126.7 14.64
2016 6 10 162 6006 726.4 -10.07 -10.66 94.1 2.12 5.87 94.6 6.5 -3.5 312.9 312.4 270.9 267.6 .86 245.1 269.8 .72 -10.4 2.581 -999 -999 -999 -999 -15.4 -17 -15.72 -19.1 -21.73 -23.6 -25.27 -27.89 .08 -1.68 -999 -999 -999 -999 -7.54 127.7 14.58
2016 6 11 163 6007 731.75 -13.64 -13.42 92.5 1.49 3.57 297.6 -3.3 -6.4 362.6 365.4 301.1 301.1 .823 212.2 257.9 .52 -13.18 2.582 -999 -999 -999 -999 -14.62 -16.05 -14.86 -18.2 -21.16 -23.26 -25.05 -27.74 .22 -1.68 -999 -999 -999 -999 -9.1 126.8 14.65
2016 6 12 164 6008 728.14 -10.7 -11.07 88.9 1.96 5.62 244.9 13.3 -5.3 372.9 379.6 308.7 308.7 .812 201.9 263.7 .29 -11.68 2.585 -999 -999 -999 -999 -14.44 -15.77 -14.72 -17.79 -20.68 -22.86 -24.79 -27.56 .19 -1.67 -999 -999 -999 -999 -8.38 126.3 14.59
2016 6 13 165 6009 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .799 -999 -999 -999 -999 2.569 -999 -999 -999 -999 -14.24 -15.42 -14.44 -17.35 -20.29 -22.54 -24.54 -27.42 .25 -1.67 -999 -999 -999 -999 -7.25 125.9 14.7
2016 6 14 166 6010 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 6 15 167 6011 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 6 16 168 6012 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 6 17 169 6013 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .805 -999 -999 -999 -999 2.585 -999 -999 -999 -999 -11.82 -13.12 -12.07 -14.96 -18.02 -20.68 -23.14 -26.48 .2 -1.71 75.62456 35.97508 2660.9 .83 -8.54 126.5 14.61
2016 6 18 170 6014 729.56 -13.58 -13.86 88.8 1.48 3.65 232.9 -2.1 -7.9 390.1 399.6 317.5 317.5 .792 189.2 256.5 .28 -13.39 2.584 -999 -999 -999 -999 -12.45 -13.46 -12.61 -15.07 -17.88 -20.43 -22.89 -26.3 .22 -1.69 75.62456 35.975086 2665 .79 -9.44 125.6 14.6
2016 6 19 171 6015 724.26 -9.25 -9.86 86.4 2.14 5.45 211 7 -10.5 357.7 363.3 294.5 294.5 .81 219.7 271.5 .42 -9.79 2.585 -999 -999 -999 -999 -11.87 -13.21 -12.13 -15.02 -17.75 -20.17 -22.59 -26.05 .28 -1.67 75.62456 35.975082 2662.5 .81 -6.25 124.2 14.54
2016 6 20 172 6016 720.2 -10.03 -10.51 88 2.02 6.8 265.4 7.7 -8.5 360.5 359.2 295 292.6 .814 219.5 268.2 .45 -10.56 2.585 -999 -999 -999 -999 -10.79 -12.23 -11.03 -14.37 -17.43 -19.94 -22.34 -25.82 .25 -1.64 75.624565 35.97507 2664.2 .79 -7.94 126 14.49
2016 6 21 173 6017 723.35 -14 -14.52 83.7 1.32 5.46 244.9 7.3 -11 392.5 398.6 317.5 315.8 .79 183.1 251.5 .23 -14.63 2.585 -999 -999 -999 -999 -13 -13.5 -13.06 -14.6 -17.13 -19.63 -22.08 -25.61 .24 -1.71 75.624565 35.975075 2665.1 .8 -11.47 124.5 14.53
2016 6 22 174 6018 722.25 -13.47 -13.62 89.4 1.5 4.57 262.6 5.1 -6 389.7 395.4 312.9 311.5 .786 189.1 254 .27 -14.02 2.584 -999 -999 -999 -999 -13.72 -14.35 -13.84 -15.34 -17.32 -19.47 -21.82 -25.38 .21 -1.73 75.624565 35.97508 2663.2 .79 -10.99 124.3 14.5
2016 6 23 175 6019 722.23 -10.42 -10.88 87.7 1.91 5.02 243.9 4.7 -8.4 392.7 391.6 307.9 307.9 .784 204.1 266.5 .31 -10.88 2.585 -999 -999 -999 -999 -12.81 -13.89 -13.02 -15.31 -17.43 -19.44 -21.64 -25.16 .23 -1.71 75.624565 35.975056 2664.1 .76 -8.11 124.2 14.49
2016 6 24 176 6020 719.26 -7.47 -7.92 94.1 2.71 4.97 235.6 1.4 -7.7 311.9 313.6 264 264 .847 259.1 281.7 .75 -7.57 2.584 -999 -999 -999 -999 -11.75 -13.12 -12.06 -14.82 -17.23 -19.34 -21.51 -24.93 .26 -1.69 75.62457 35.975063 2663.5 .75 -4.94 124.7 14.49
2016 6 25 177 6021 722.96 -7.24 -7.3 89.3 2.55 4.71 287.2 3.3 -7.9 347.7 346.6 287.2 286.3 .825 239.6 280.8 .54 -7.6 2.567 -999 -999 -999 -999 -10.09 -11.61 -10.45 -13.72 -16.72 -19.1 -21.36 -24.72 .28 -1.7 75.624565 35.975056 2664.4 .77 -4.54 124.8 14.49
2016 6 26 178 6022 725.93 -10.15 -10.63 89.8 2.01 4.52 224.1 6.8 -5.8 388.9 394.6 316.6 316.6 .8 200.7 266.7 .26 -10.83 2.565 -999 -999 -999 -999 -10.74 -11.71 -10.93 -13.3 -16.19 -18.75 -21.14 -24.58 .28 -1.69 75.62457 35.975075 2663.1 .77 -6.63 123.3 14.49
2016 6 27 179 6023 728.63 -10.71 -11.18 90.4 1.92 4.36 224 4.7 -6 393.3 399.1 316.2 316.2 .79 195.6 265.1 .23 -11.21 2.565 -999 -999 -999 -999 -11.22 -12.15 -11.4 -13.53 -16.05 -18.46 -20.89 -24.41 .24 -1.7 75.62457 35.97506 2662.5 .75 -7.24 123.2 14.47
2016 6 28 180 6024 729.11 -11.03 -11.58 87.6 1.83 4.93 219.8 7.1 -8.5 393.8 400.9 316.4 316.4 .788 193.7 263.2 .22 -11.71 2.573 -999 -999 -999 -999 -11.56 -12.45 -11.73 -13.72 -16.03 -18.31 -20.68 -24.24 .3 -1.72 75.62457 35.97504 2664.1 .76 -7.75 123.4 14.46
2016 6 29 181 6025 727.85 -11.01 -11.47 89 1.84 4.51 228 5.2 -6.6 395.7 403 316.1 316.1 .783 191.2 263.9 .2 -11.46 2.573 -999 -999 -999 -999 -11.52 -12.47 -11.71 -13.77 -16.01 -18.2 -20.5 -24.06 .26 -1.7 75.62457 35.97506 2663 .77 -7.47 123 14.46
2016 6 30 182 6026 727.59 -7.93 -8.27 90.6 2.43 5.49 289 8.7 -7.1 355.6 360.4 288.3 288.3 .803 224.5 276 .41 -8.67 2.572 -999 -999 -999 -999 -10.63 -11.9 -10.96 -13.51 -15.89 -18.08 -20.34 -23.87 .23 -1.72 75.62457 35.97504 2662.3 .77 -5.75 125.1 14.43
2016 7 1 183 6027 730.63 -6.96 -7.1 92.3 2.67 4.48 293.4 .6 -9.2 336.7 331.4 272.8 269.3 .816 247.4 283.2 .61 -7.08 2.569 -999 -999 -999 -999 -9.72 -11 -10.05 -12.76 -15.48 -17.86 -20.18 -23.68 .26 -1.72 75.62458 35.97504 2664.2 .79 -4.83 124.3 14.47
2016 7 2 184 6028 730.32 -7.83 -8.03 89.7 2.4 4.34 263.5 3.5 -8.7 350.3 347.9 285 284.1 .819 234.2 278 .51 -8.23 2.555 -999 -999 -999 -999 -9.32 -10.53 -9.6 -12.25 -15.07 -17.58 -19.98 -23.52 .24 -1.72 75.62457 35.975037 2661.2 .79 -5.88 123.7 14.42
2016 7 3 185 6029 731.01 -11.56 -11.73 91.6 1.81 4.8 282.8 2.8 -7 368.4 370.9 298.8 298.1 .803 211.5 262.9 .43 -11.91 2.554 -999 -999 -999 -999 -10.33 -11.05 -10.46 -12.27 -14.78 -17.29 -19.75 -23.36 .23 -1.74 75.62458 35.97503 2665.3 .81 -8.94 124.6 14.49
2016 7 4 186 6030 731.44 -9.3 -9.7 93.4 2.23 5.92 303.4 2.3 -6.7 282.1 282.8 242.8 242.8 .859 257.7 273.7 .82 -9.49 2.552 -999 -999 -999 -999 -10.42 -11.3 -10.6 -12.54 -14.79 -17.1 -19.54 -23.18 .23 -1.68 75.62459 35.975033 2664.3 .79 -7.56 124.2 14.34
2016 7 5 187 6031 732.9 -8.08 -8.23 92.3 2.42 4.59 288.5 2.1 -6.6 318.6 316.5 263.2 262.2 .829 245.1 278.3 .64 -8.24 2.548 -999 -999 -999 -999 -10.02 -11.06 -10.23 -12.42 -14.72 -16.98 -19.36 -22.99 .24 -1.73 75.62458 35.975037 2662.6 .81 -5.93 124.7 14.49
2016 7 6 188 6032 732.83 -6.98 -7.2 87.7 2.53 4.29 278.8 5.3 -9.4 303.1 300.3 253.3 250.9 .835 251.7 281.5 .66 -7.52 2.546 -999 -999 -999 -999 -9.51 -10.63 -9.73 -12.11 -14.53 -16.84 -19.21 -22.82 .27 -1.72 75.62458 35.97503 2666.3 .79 -5.1 123.9 14.42
2016 7 7 189 6033 732.86 -7.94 -8.21 93.5 2.48 4.1 251.6 4.8 -3.9 328.2 325.4 268.8 268 .825 230.9 276.8 .48 -8.53 2.549 -999 -999 -999 -999 -9.06 -10.2 -9.29 -11.73 -14.26 -16.65 -19.04 -22.66 .26 -1.72 75.62458 35.97501 2663.6 .78 -5.71 123.2 14.4
2016 7 8 190 6034 734.96 -11.32 -11.33 87.5 1.74 2.75 237.7 .4 -6.2 364.4 368 294.6 294.2 .795 208 266.3 .38 -11.06 2.55 -999 -999 -999 -999 -9.89 -10.61 -10.03 -11.75 -14.04 -16.43 -18.86 -22.51 .25 -1.71 75.62458 35.975002 2663 .78 -6.58 124 14.43
2016 7 9 191 6035 736.81 -6.57 -6.79 86.7 2.55 2.76 169.8 -6.2 -15.5 315.9 313.2 257.8 255.3 .817 256.8 287.8 .69 -6.05 2.55 -999 -999 -999 -999 -9.14 -10.36 -9.42 -11.78 -14.02 -16.27 -18.67 -22.33 .27 -1.72 75.62459 35.97502 2663.5 .76 -2.8 123.8 14.37
2016 7 10 192 6036 738.74 -7.69 -7.51 85 2.26 2 260.2 -2.7 -10.1 315.4 315.5 254.4 254.4 .805 240.2 281 .57 -7.57 2.551 -999 -999 -999 -999 -8.55 -9.69 -8.79 -11.21 -13.73 -16.11 -18.51 -22.18 .26 -1.73 75.62459 35.975006 2663.4 .77 -3.42 124.2 14.35
2016 7 11 193 6037 738.18 -5.66 -5.5 86.7 2.79 1.13 123.1 -6.1 -10.5 305.5 303.5 243.7 243.7 .803 260.6 293.9 .69 -4.64 2.551 -999 -999 -999 -999 -8.27 -9.44 -8.53 -10.93 -13.43 -15.87 -18.33 -22.01 .3 -1.71 75.62459 35.975002 2663.7 .77 -.84 124.7 14.41
2016 7 12 194 6038 736.95 -5.66 -5.71 80.1 2.55 3.68 291.6 5.9 -16.8 316.2 318.5 259.1 258.7 .813 246.9 285.2 .55 -6.62 2.552 -999 -999 -999 -999 -7.4 -8.71 -7.7 -10.39 -13.08 -15.62 -18.13 -21.83 .25 -1.7 75.624596 35.975002 2663.6 .77 -3.31 123.4 14.32
2016 7 13 195 6039 734.87 -10.96 -10.88 93.7 1.92 2.6 274.5 -5.5 -7.1 364.1 365.9 274.6 273.9 .747 216.2 269.1 .46 -10.34 2.555 -999 -999 -999 -999 -8.12 -8.95 -8.3 -10.23 -12.74 -15.33 -17.91 -21.68 .26 -1.75 75.62459 35.975 2662.8 .77 -7.83 123.6 14.42
2016 7 14 196 6040 731.37 -11.38 -11.85 91.3 1.82 4.07 232.6 1.9 -6.5 366.4 366.1 289.1 289.1 .787 198 263.1 .28 -11.72 2.554 -999 -999 -999 -999 -9.21 -9.84 -9.35 -10.76 -12.78 -15.14 -17.7 -21.52 .24 -1.76 75.624596 35.974995 2663.3 .76 -8 122.2 14.39
